Language,Count,Percent,Percent prefix sum
pike,1019,0.0014788978260695405,99.98619066455836
nu,920,0.001335216879277701,99.98752588143765
bro,850,0.0012336242906370064,99.98875950572828
harbour,805,0.0011683147693679883,99.98992782049766
lolcode,765,0.0011102618615733057,99.99103808235922
xc,581,0.0008432184857177656,99.99188130084494
literate-agda,573,0.000831607904158829,99.9927129087491
grace,560,0.0008127407091255573,99.99352564945822
golo,540,0.0007837142552282158,99.99430936371346
x10,404,0.0005863343687262948,99.99489569808217
ioke,403,0.0005848830460314278,99.9954805811282
opa,363,0.000526830138236745,99.99600741126645
xpages,315,0.0004571666488831259,99.99646457791533
idl,312,0.0004528126807985247,99.99691739059614
shen,303,0.00043975077654472114,99.99735714137269
krl,289,0.00041943225881658217,99.99777657363151
pogoscript,228,0.00033090157442969113,99.99810747520594
augeas,208,0.0003018751205323498,99.99840935032647
octave,188,0.0002728486666350085,99.99868219899311
apacheconf,187,0.0002713973439401414,99.99895359633705
netlinx,170,0.0002467248581274013,99.99920032119518
m,132,0.00019157459572245275,99.9993918957909
scaml,113,0.00016399946451997849,99.99955589525541
blitzbasic,108,0.00015674285104564316,99.99971263810646
ampl,71,0.00010304391133556171,99.9998156820178
oxygene,55,7.982274821768865e-05,99.99989550476602
coq,38,5.515026240494853e-05,99.99995065502843
nginx,15,2.1769840423005996e-05,99.99997242486886
myghty,10,1.4513226948670665e-05,99.9999869380958
shellsession,9,1.3061904253803597e-05,100.00000000000006
